,dt,item_topic,source_topic,age_segment,record_id,visits
81,2019-09-24 18:28:00,Женщины,Семейные отношения,36-40,1,2
82,2019-09-24 18:28:00,Женщины,Семья,18-25,1,2
83,2019-09-24 18:28:00,Женщины,Семья,31-35,1,1
84,2019-09-24 18:28:00,Женщины,Спорт,45+,1,1
85,2019-09-24 18:28:00,Здоровье,Авто,31-35,1,1
86,2019-09-24 18:28:00,Здоровье,Дети,36-40,1,1
87,2019-09-24 18:28:00,Здоровье,Еда,26-30,1,1
88,2019-09-24 18:28:00,Здоровье,Знаменитости,18-25,1,3
89,2019-09-24 18:28:00,Здоровье,Знаменитости,31-35,1,1
90,2019-09-24 18:28:00,Здоровье,История,31-35,1,1
91,2019-09-24 18:28:00,Здоровье,Одежда,41-45,1,1
92,2019-09-24 18:28:00,Здоровье,Полезные советы,18-25,1,6
93,2019-09-24 18:28:00,Здоровье,Полезные советы,26-30,1,1
94,2019-09-24 18:28:00,Здоровье,Полезные советы,31-35,1,3
95,2019-09-24 18:28:00,Здоровье,Полезные советы,36-40,1,1
96,2019-09-24 18:28:00,Здоровье,Полезные советы,45+,1,1
97,2019-09-24 18:28:00,Здоровье,Россия,26-30,1,1
98,2019-09-24 18:28:00,Здоровье,Россия,31-35,1,1
99,2019-09-24 18:28:00,Здоровье,Сделай сам,31-35,1,1
100,2019-09-24 18:28:00,Здоровье,Семейные отношения,18-25,1,1
101,2019-09-24 18:28:00,Знаменитости,Здоровье,31-35,1,1
102,2019-09-24 18:28:00,Знаменитости,История,18-25,1,2
103,2019-09-24 18:28:00,Знаменитости,История,26-30,1,1
104,2019-09-24 18:28:00,Знаменитости,Кино,26-30,1,1
105,2019-09-24 18:28:00,Знаменитости,Одежда,31-35,1,1
106,2019-09-24 18:28:00,Знаменитости,Россия,18-25,1,3
107,2019-09-24 18:28:00,Знаменитости,Россия,26-30,1,1
108,2019-09-24 18:28:00,Знаменитости,Россия,31-35,1,1
109,2019-09-24 18:28:00,Знаменитости,Россия,36-40,1,1
110,2019-09-24 18:28:00,Знаменитости,Семейные отношения,18-25,1,1
111,2019-09-24 18:28:00,Знаменитости,Семейные отношения,26-30,1,1
112,2019-09-24 18:28:00,Интересные факты,Авто,18-25,1,2
113,2019-09-24 18:28:00,Интересные факты,Авто,45+,1,1
114,2019-09-24 18:28:00,Интересные факты,Дети,18-25,1,1
115,2019-09-24 18:28:00,Интересные факты,Еда,18-25,1,2
116,2019-09-24 18:28:00,Интересные факты,Еда,26-30,1,1
117,2019-09-24 18:28:00,Интересные факты,Здоровье,18-25,1,2
118,2019-09-24 18:28:00,Интересные факты,Здоровье,26-30,1,2
119,2019-09-24 18:28:00,Интересные факты,Знаменитости,18-25,1,1
120,2019-09-24 18:28:00,Интересные факты,Знаменитости,31-35,1,2
121,2019-09-24 18:28:00,Интересные факты,Искусство,18-25,1,1
122,2019-09-24 18:28:00,Интересные факты,Искусство,26-30,1,1
123,2019-09-24 18:28:00,Интересные факты,Искусство,36-40,1,1
124,2019-09-24 18:28:00,Интересные факты,История,18-25,1,1
125,2019-09-24 18:28:00,Интересные факты,Кино,31-35,1,2
126,2019-09-24 18:28:00,Интересные факты,Кино,45+,1,1
127,2019-09-24 18:28:00,Интересные факты,Музыка,18-25,1,1
128,2019-09-24 18:28:00,Интересные факты,Музыка,26-30,1,1
129,2019-09-24 18:28:00,Интересные факты,Одежда,18-25,1,2
130,2019-09-24 18:28:00,Интересные факты,Одежда,26-30,1,1
131,2019-09-24 18:28:00,Интересные факты,Полезные советы,18-25,1,2
132,2019-09-24 18:28:00,Интересные факты,Полезные советы,31-35,1,2
133,2019-09-24 18:28:00,Интересные факты,Полезные советы,36-40,1,1
134,2019-09-24 18:28:00,Интересные факты,Психология,36-40,1,1
135,2019-09-24 18:28:00,Интересные факты,Путешествия,18-25,1,2
136,2019-09-24 18:28:00,Интересные факты,Путешествия,26-30,1,1
137,2019-09-24 18:28:00,Интересные факты,Путешествия,36-40,1,1
138,2019-09-24 18:28:00,Интересные факты,Россия,18-25,1,4
139,2019-09-24 18:28:00,Интересные факты,Россия,26-30,1,1
140,2019-09-24 18:28:00,Интересные факты,Россия,31-35,1,1
141,2019-09-24 18:28:00,Интересные факты,Россия,41-45,1,1
142,2019-09-24 18:28:00,Интересные факты,Сад и дача,18-25,1,2
143,2019-09-24 18:28:00,Интересные факты,Сад и дача,31-35,1,1
144,2019-09-24 18:28:00,Интересные факты,Сад и дача,36-40,1,1
145,2019-09-24 18:28:00,Интересные факты,Семейные отношения,18-25,1,1
146,2019-09-24 18:28:00,Интересные факты,Семейные отношения,26-30,1,2
147,2019-09-24 18:28:00,Интересные факты,Семья,18-25,1,3
148,2019-09-24 18:28:00,Интересные факты,Семья,26-30,1,1
149,2019-09-24 18:28:00,Интересные факты,Семья,45+,1,1
150,2019-09-24 18:28:00,Интересные факты,Технологии,31-35,1,1
151,2019-09-24 18:28:00,Искусство,Дети,26-30,1,1
152,2019-09-24 18:28:00,Искусство,Дети,36-40,1,1
153,2019-09-24 18:28:00,Искусство,Здоровье,18-25,1,1
154,2019-09-24 18:28:00,Искусство,Знаменитости,18-25,1,2
155,2019-09-24 18:28:00,Искусство,Знаменитости,26-30,1,2
156,2019-09-24 18:28:00,Искусство,Искусство,26-30,1,1
157,2019-09-24 18:28:00,Искусство,История,26-30,1,1
158,2019-09-24 18:28:00,Искусство,Кино,18-25,1,1
159,2019-09-24 18:28:00,Искусство,Одежда,26-30,1,1
160,2019-09-24 18:28:00,Искусство,Полезные советы,26-30,1,1
161,2019-09-24 18:28:00,Искусство,Путешествия,18-25,1,1
162,2019-09-24 18:28:00,Искусство,Путешествия,41-45,1,1
163,2019-09-24 18:28:00,Искусство,Россия,26-30,1,2
164,2019-09-24 18:28:00,Искусство,Строительство,26-30,1,1
165,2019-09-24 18:28:00,История,Авто,18-25,1,2
166,2019-09-24 18:28:00,История,Деньги,36-40,1,1
167,2019-09-24 18:28:00,История,Дети,18-25,1,3
168,2019-09-24 18:28:00,История,Здоровье,31-35,1,1
169,2019-09-24 18:28:00,История,Знаменитости,18-25,1,1
170,2019-09-24 18:28:00,История,Знаменитости,26-30,1,2
171,2019-09-24 18:28:00,История,Интерьеры,18-25,1,1
172,2019-09-24 18:28:00,История,Искусство,18-25,1,2
173,2019-09-24 18:28:00,История,Искусство,26-30,1,2
174,2019-09-24 18:28:00,История,История,18-25,1,1
175,2019-09-24 18:28:00,История,История,26-30,1,1
176,2019-09-24 18:28:00,История,Кино,18-25,1,1
177,2019-09-24 18:28:00,История,Кино,26-30,1,1
178,2019-09-24 18:28:00,История,Кино,31-35,1,1
179,2019-09-24 18:28:00,История,Музыка,41-45,1,1
180,2019-09-24 18:28:00,История,Одежда,31-35,1,1
181,2019-09-24 18:28:00,История,Психология,18-25,1,1
182,2019-09-24 18:28:00,История,Путешествия,26-30,1,1
183,2019-09-24 18:28:00,История,Путешествия,31-35,1,3
184,2019-09-24 18:28:00,История,Путешествия,45+,1,1
185,2019-09-24 18:28:00,История,Россия,18-25,1,1
186,2019-09-24 18:28:00,История,Россия,26-30,1,1
187,2019-09-24 18:28:00,История,Россия,31-35,1,1
188,2019-09-24 18:28:00,История,Сад и дача,18-25,1,1
189,2019-09-24 18:28:00,История,Сделай сам,18-25,1,1
190,2019-09-24 18:28:00,История,Семейные отношения,18-25,1,2
191,2019-09-24 18:28:00,История,Семейные отношения,26-30,1,4
192,2019-09-24 18:28:00,История,Семейные отношения,36-40,1,1
193,2019-09-24 18:28:00,История,Семья,18-25,1,1
194,2019-09-24 18:28:00,История,Семья,36-40,1,2
195,2019-09-24 18:28:00,Красота,Дети,31-35,1,2
196,2019-09-24 18:28:00,Красота,Здоровье,18-25,1,2
197,2019-09-24 18:28:00,Красота,Здоровье,36-40,1,1
198,2019-09-24 18:28:00,Красота,Знаменитости,36-40,1,2
199,2019-09-24 18:28:00,Красота,Интерьеры,18-25,1,1
200,2019-09-24 18:28:00,Красота,Искусство,26-30,1,1
201,2019-09-24 18:28:00,Красота,Искусство,45+,1,1
202,2019-09-24 18:28:00,Красота,История,18-25,1,1
203,2019-09-24 18:28:00,Красота,Полезные советы,18-25,1,1
204,2019-09-24 18:28:00,Красота,Политика,31-35,1,1
205,2019-09-24 18:28:00,Красота,Путешествия,18-25,1,2
206,2019-09-24 18:28:00,Красота,Путешествия,26-30,1,1
207,2019-09-24 18:28:00,Красота,Ремонт,26-30,1,1
208,2019-09-24 18:28:00,Красота,Россия,26-30,1,1
209,2019-09-24 18:28:00,Красота,Сад и дача,18-25,1,1
210,2019-09-24 18:28:00,Красота,Сделай сам,18-25,1,1
211,2019-09-24 18:28:00,Красота,Сделай сам,41-45,1,1
212,2019-09-24 18:28:00,Красота,Семейные отношения,18-25,1,1
213,2019-09-24 18:28:00,Культура,Авто,18-25,1,1
214,2019-09-24 18:28:00,Культура,Авто,26-30,1,1
215,2019-09-24 18:28:00,Культура,Дети,26-30,1,1
216,2019-09-24 18:28:00,Культура,Дети,41-45,1,2
217,2019-09-24 18:28:00,Культура,Здоровье,26-30,1,1
218,2019-09-24 18:28:00,Культура,Знаменитости,18-25,1,1
219,2019-09-24 18:28:00,Культура,Знаменитости,41-45,1,1
220,2019-09-24 18:28:00,Культура,Интерьеры,31-35,1,1
221,2019-09-24 18:28:00,Культура,Искусство,18-25,1,1
222,2019-09-24 18:28:00,Культура,Искусство,26-30,1,1
223,2019-09-24 18:28:00,Культура,История,18-25,1,3
224,2019-09-24 18:28:00,Культура,Кино,18-25,1,1
225,2019-09-24 18:28:00,Культура,Кино,31-35,1,2
226,2019-09-24 18:28:00,Культура,Кино,41-45,1,1
227,2019-09-24 18:28:00,Культура,Полезные советы,45+,1,1
228,2019-09-24 18:28:00,Культура,Психология,26-30,1,1
229,2019-09-24 18:28:00,Культура,Ремонт,31-35,1,1
230,2019-09-24 18:28:00,Культура,Россия,18-25,1,7
231,2019-09-24 18:28:00,Культура,Россия,26-30,1,1
232,2019-09-24 18:28:00,Культура,Россия,36-40,1,1
233,2019-09-24 18:28:00,Культура,Семейные отношения,31-35,1,2
234,2019-09-24 18:28:00,Культура,Семейные отношения,36-40,1,1
235,2019-09-24 18:28:00,Культура,Семья,45+,1,1
236,2019-09-24 18:28:00,Культура,Технологии,41-45,1,1
237,2019-09-24 18:28:00,Наука,Авто,26-30,1,1
238,2019-09-24 18:28:00,Наука,Деньги,31-35,1,1
239,2019-09-24 18:28:00,Наука,Дети,18-25,1,1
240,2019-09-24 18:28:00,Наука,Дети,31-35,1,2
241,2019-09-24 18:28:00,Наука,Еда,18-25,1,1
242,2019-09-24 18:28:00,Наука,Здоровье,18-25,1,2
243,2019-09-24 18:28:00,Наука,Здоровье,31-35,1,1
244,2019-09-24 18:28:00,Наука,Знаменитости,18-25,1,2
245,2019-09-24 18:28:00,Наука,Знаменитости,26-30,1,2
246,2019-09-24 18:28:00,Наука,Знаменитости,31-35,1,1
247,2019-09-24 18:28:00,Наука,История,18-25,1,3
248,2019-09-24 18:28:00,Наука,История,26-30,1,2
249,2019-09-24 18:28:00,Наука,Кино,18-25,1,5
250,2019-09-24 18:28:00,Наука,Кино,26-30,1,4
251,2019-09-24 18:28:00,Наука,Кино,45+,1,2
252,2019-09-24 18:28:00,Наука,Одежда,18-25,1,1
253,2019-09-24 18:28:00,Наука,Полезные советы,18-25,1,3
254,2019-09-24 18:28:00,Наука,Полезные советы,26-30,1,3
255,2019-09-24 18:28:00,Наука,Полезные советы,31-35,1,1
256,2019-09-24 18:28:00,Наука,Полезные советы,36-40,1,1
257,2019-09-24 18:28:00,Наука,Полезные советы,41-45,1,1
258,2019-09-24 18:28:00,Наука,Психология,26-30,1,1
259,2019-09-24 18:28:00,Наука,Путешествия,18-25,1,3
260,2019-09-24 18:28:00,Наука,Путешествия,26-30,1,1
261,2019-09-24 18:28:00,Наука,Путешествия,45+,1,1
262,2019-09-24 18:28:00,Наука,Ремонт,31-35,1,1
263,2019-09-24 18:28:00,Наука,Россия,26-30,1,1
264,2019-09-24 18:28:00,Наука,Россия,41-45,1,1
265,2019-09-24 18:28:00,Наука,Россия,45+,1,1
266,2019-09-24 18:28:00,Наука,Сад и дача,18-25,1,2
267,2019-09-24 18:28:00,Наука,Сад и дача,26-30,1,1
268,2019-09-24 18:28:00,Наука,Сделай сам,18-25,1,1
269,2019-09-24 18:28:00,Наука,Семейные отношения,18-25,1,1
270,2019-09-24 18:28:00,Наука,Семейные отношения,36-40,1,1
271,2019-09-24 18:28:00,Наука,Семья,18-25,1,2
272,2019-09-24 18:28:00,Наука,Семья,31-35,1,1
273,2019-09-24 18:28:00,Наука,Семья,36-40,1,2
274,2019-09-24 18:28:00,Наука,Строительство,18-25,1,1
275,2019-09-24 18:28:00,Наука,Технологии,18-25,1,1
276,2019-09-24 18:28:00,Наука,Технологии,31-35,1,1
277,2019-09-24 18:28:00,Наука,Технологии,36-40,1,1
278,2019-09-24 18:28:00,Наука,Технологии,45+,1,1
279,2019-09-24 18:28:00,Общество,Авто,18-25,1,2
280,2019-09-24 18:28:00,Общество,Дети,18-25,1,2
281,2019-09-24 18:28:00,Общество,Еда,36-40,1,1
282,2019-09-24 18:28:00,Общество,Здоровье,18-25,1,1
283,2019-09-24 18:28:00,Общество,Здоровье,26-30,1,3
284,2019-09-24 18:28:00,Общество,Знаменитости,18-25,1,1
285,2019-09-24 18:28:00,Общество,Знаменитости,31-35,1,1
286,2019-09-24 18:28:00,Общество,История,18-25,1,2
287,2019-09-24 18:28:00,Общество,История,26-30,1,1
288,2019-09-24 18:28:00,Общество,Кино,18-25,1,3
289,2019-09-24 18:28:00,Общество,Одежда,26-30,1,1
290,2019-09-24 18:28:00,Общество,Полезные советы,18-25,1,3
291,2019-09-24 18:28:00,Общество,Полезные советы,26-30,1,1
292,2019-09-24 18:28:00,Общество,Полезные советы,36-40,1,1
293,2019-09-24 18:28:00,Общество,Политика,18-25,1,2
294,2019-09-24 18:28:00,Общество,Политика,31-35,1,1
295,2019-09-24 18:28:00,Общество,Политика,45+,1,2
296,2019-09-24 18:28:00,Общество,Психология,18-25,1,1
297,2019-09-24 18:28:00,Общество,Психология,31-35,1,1
298,2019-09-24 18:28:00,Общество,Психология,41-45,1,1
299,2019-09-24 18:28:00,Общество,Путешествия,18-25,1,2
300,2019-09-24 18:28:00,Общество,Путешествия,26-30,1,2
301,2019-09-24 18:28:00,Общество,Путешествия,31-35,1,1
302,2019-09-24 18:28:00,Общество,Путешествия,41-45,1,1
303,2019-09-24 18:28:00,Общество,Россия,18-25,1,5
304,2019-09-24 18:28:00,Общество,Россия,26-30,1,2
305,2019-09-24 18:28:00,Общество,Россия,31-35,1,1
306,2019-09-24 18:28:00,Общество,Россия,36-40,1,3
307,2019-09-24 18:28:00,Общество,Россия,41-45,1,2
308,2019-09-24 18:28:00,Общество,Россия,45+,1,2
309,2019-09-24 18:28:00,Общество,Семейные отношения,18-25,1,3
310,2019-09-24 18:28:00,Общество,Семейные отношения,31-35,1,2
311,2019-09-24 18:28:00,Общество,Семейные отношения,36-40,1,1
312,2019-09-24 18:28:00,Общество,Семейные отношения,45+,1,2
313,2019-09-24 18:28:00,Общество,Семья,18-25,1,1
314,2019-09-24 18:28:00,Общество,Технологии,18-25,1,1
315,2019-09-24 18:28:00,Общество,Финансы,31-35,1,1
316,2019-09-24 18:28:00,Отношения,Деньги,45+,1,1
317,2019-09-24 18:28:00,Отношения,Дети,36-40,1,1
318,2019-09-24 18:28:00,Отношения,Еда,26-30,1,1
319,2019-09-24 18:28:00,Отношения,Еда,31-35,1,1
320,2019-09-24 18:28:00,Отношения,Здоровье,18-25,1,1
321,2019-09-24 18:28:00,Отношения,Знаменитости,26-30,1,1
322,2019-09-24 18:28:00,Отношения,Знаменитости,31-35,1,1
323,2019-09-24 18:28:00,Отношения,Знаменитости,36-40,1,1
324,2019-09-24 18:28:00,Отношения,Интерьеры,41-45,1,1
325,2019-09-24 18:28:00,Отношения,Искусство,31-35,1,1
326,2019-09-24 18:28:00,Отношения,История,36-40,1,1
327,2019-09-24 18:28:00,Отношения,Кино,18-25,1,1
328,2019-09-24 18:28:00,Отношения,Одежда,18-25,1,4
329,2019-09-24 18:28:00,Отношения,Одежда,31-35,1,1
330,2019-09-24 18:28:00,Отношения,Полезные советы,18-25,1,6
331,2019-09-24 18:28:00,Отношения,Полезные советы,26-30,1,1
332,2019-09-24 18:28:00,Отношения,Полезные советы,31-35,1,1
333,2019-09-24 18:28:00,Отношения,Полезные советы,36-40,1,1
334,2019-09-24 18:28:00,Отношения,Политика,18-25,1,1
335,2019-09-24 18:28:00,Отношения,Политика,31-35,1,1
336,2019-09-24 18:28:00,Отношения,Психология,36-40,1,1
337,2019-09-24 18:28:00,Отношения,Путешествия,18-25,1,1
338,2019-09-24 18:28:00,Отношения,Путешествия,26-30,1,1
339,2019-09-24 18:28:00,Отношения,Путешествия,31-35,1,1
340,2019-09-24 18:28:00,Отношения,Ремонт,26-30,1,1
341,2019-09-24 18:28:00,Отношения,Россия,18-25,1,4
342,2019-09-24 18:28:00,Отношения,Россия,26-30,1,1
343,2019-09-24 18:28:00,Отношения,Россия,36-40,1,2
344,2019-09-24 18:28:00,Отношения,Россия,41-45,1,1
345,2019-09-24 18:28:00,Отношения,Сад и дача,18-25,1,1
346,2019-09-24 18:28:00,Отношения,Сад и дача,26-30,1,1
347,2019-09-24 18:28:00,Отношения,Сад и дача,31-35,1,1
348,2019-09-24 18:28:00,Отношения,Семейные отношения,26-30,1,1
349,2019-09-24 18:28:00,Отношения,Семейные отношения,36-40,1,1
350,2019-09-24 18:28:00,Отношения,Строительство,31-35,1,1
351,2019-09-24 18:28:00,Отношения,Технологии,45+,1,1
352,2019-09-24 18:28:00,Отношения,Финансы,31-35,1,2
353,2019-09-24 18:28:00,Отношения,Финансы,36-40,1,1
354,2019-09-24 18:28:00,Подборки,Авто,18-25,1,1
355,2019-09-24 18:28:00,Подборки,Еда,18-25,1,1
356,2019-09-24 18:28:00,Подборки,Здоровье,18-25,1,2
357,2019-09-24 18:28:00,Подборки,Здоровье,31-35,1,1
358,2019-09-24 18:28:00,Подборки,Знаменитости,26-30,1,2
359,2019-09-24 18:28:00,Подборки,Знаменитости,36-40,1,1
360,2019-09-24 18:28:00,Подборки,Интерьеры,18-25,1,2
361,2019-09-24 18:28:00,Подборки,История,18-25,1,1
362,2019-09-24 18:28:00,Подборки,История,31-35,1,1
363,2019-09-24 18:28:00,Подборки,Кино,18-25,1,2
364,2019-09-24 18:28:00,Подборки,Кино,26-30,1,3
365,2019-09-24 18:28:00,Подборки,Одежда,26-30,1,1
366,2019-09-24 18:28:00,Подборки,Полезные советы,18-25,1,3
367,2019-09-24 18:28:00,Подборки,Полезные советы,26-30,1,1
368,2019-09-24 18:28:00,Подборки,Полезные советы,31-35,1,3
369,2019-09-24 18:28:00,Подборки,Полезные советы,36-40,1,1
370,2019-09-24 18:28:00,Подборки,Психология,18-25,1,1
371,2019-09-24 18:28:00,Подборки,Путешествия,18-25,1,1
372,2019-09-24 18:28:00,Подборки,Путешествия,31-35,1,1
373,2019-09-24 18:28:00,Подборки,Путешествия,36-40,1,1
374,2019-09-24 18:28:00,Подборки,Россия,18-25,1,2
375,2019-09-24 18:28:00,Подборки,Сад и дача,45+,1,1
376,2019-09-24 18:28:00,Подборки,Семейные отношения,18-25,1,1
377,2019-09-24 18:28:00,Подборки,Семейные отношения,26-30,1,1
378,2019-09-24 18:28:00,Подборки,Семейные отношения,41-45,1,2
379,2019-09-24 18:28:00,Подборки,Спорт,18-25,1,1
380,2019-09-24 18:28:00,Подборки,Строительство,18-25,1,1
381,2019-09-24 18:28:00,Подборки,Строительство,26-30,1,1
382,2019-09-24 18:28:00,Подборки,Технологии,41-45,1,1
383,2019-09-24 18:28:00,Полезные советы,Авто,36-40,1,1
384,2019-09-24 18:28:00,Полезные советы,Дети,18-25,1,2
385,2019-09-24 18:28:00,Полезные советы,Еда,18-25,1,1
386,2019-09-24 18:28:00,Полезные советы,Здоровье,18-25,1,2
387,2019-09-24 18:28:00,Полезные советы,Здоровье,26-30,1,2
388,2019-09-24 18:28:00,Полезные советы,Интерьеры,26-30,1,1
389,2019-09-24 18:28:00,Полезные советы,История,41-45,1,2
390,2019-09-24 18:28:00,Полезные советы,Кино,26-30,1,1
391,2019-09-24 18:28:00,Полезные советы,Музыка,18-25,1,1
392,2019-09-24 18:28:00,Полезные советы,Одежда,18-25,1,1
393,2019-09-24 18:28:00,Полезные советы,Одежда,31-35,1,1
394,2019-09-24 18:28:00,Полезные советы,Одежда,36-40,1,1
395,2019-09-24 18:28:00,Полезные советы,Полезные советы,31-35,1,1
396,2019-09-24 18:28:00,Полезные советы,Полезные советы,45+,1,1
397,2019-09-24 18:28:00,Полезные советы,Психология,18-25,1,1
398,2019-09-24 18:28:00,Полезные советы,Путешествия,18-25,1,1
399,2019-09-24 18:28:00,Полезные советы,Путешествия,26-30,1,2
400,2019-09-24 18:28:00,Полезные советы,Ремонт,26-30,1,1
401,2019-09-24 18:28:00,Полезные советы,Россия,18-25,1,2
402,2019-09-24 18:28:00,Полезные советы,Россия,26-30,1,1
403,2019-09-24 18:28:00,Полезные советы,Россия,45+,1,1
404,2019-09-24 18:28:00,Полезные советы,Сад и дача,18-25,1,1
405,2019-09-24 18:28:00,Полезные советы,Сделай сам,36-40,1,1
406,2019-09-24 18:28:00,Полезные советы,Семейные отношения,18-25,1,2
407,2019-09-24 18:28:00,Полезные советы,Семейные отношения,31-35,1,1
408,2019-09-24 18:28:00,Полезные советы,Семейные отношения,36-40,1,2
409,2019-09-24 18:28:00,Полезные советы,Семья,18-25,1,1
410,2019-09-24 18:28:00,Полезные советы,Семья,26-30,1,1
411,2019-09-24 18:28:00,Полезные советы,Финансы,26-30,1,1
412,2019-09-24 18:28:00,Психология,Дети,18-25,1,1
413,2019-09-24 18:28:00,Психология,Дети,36-40,1,1
414,2019-09-24 18:28:00,Психология,Дети,41-45,1,1
415,2019-09-24 18:28:00,Психология,Здоровье,18-25,1,1
416,2019-09-24 18:28:00,Психология,Знаменитости,18-25,1,1
417,2019-09-24 18:28:00,Психология,Искусство,18-25,1,2
418,2019-09-24 18:28:00,Психология,Искусство,26-30,1,1
419,2019-09-24 18:28:00,Психология,Одежда,31-35,1,1
420,2019-09-24 18:28:00,Психология,Полезные советы,18-25,1,1
